date,State,Population,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated
2021-07-01,Alaska,738432,652,358963,780,314489
2021-07-02,Alaska,738432,3721,362684,3877,318366
2021-07-03,Alaska,738432,694,363378,717,319083
2021-07-04,Alaska,738432,931,364309,1418,320501
2021-07-05,Alaska,738432,0,364309,0,320501
2021-07-06,Alaska,738432,1936,366245,2487,322988
2021-07-07,Alaska,738432,60,366305,72,323060
2021-07-08,Alaska,738432,611,366916,657,323717
2021-07-09,Alaska,738432,550,367466,686,324403
2021-07-10,Alaska,738432,690,368156,715,325118
2021-07-11,Alaska,738432,546,368702,571,325689
2021-07-12,Alaska,738432,309,369011,253,325942
2021-07-13,Alaska,738432,196,369207,147,326089
2021-07-14,Alaska,738432,429,369636,618,326707
2021-07-15,Alaska,738432,480,370116,582,327289
2021-07-16,Alaska,738432,630,370746,654,327943
2021-07-17,Alaska,738432,416,371162,461,328404
2021-07-18,Alaska,738432,1423,372585,915,329319
2021-07-19,Alaska,738432,177,372762,133,329452
2021-07-20,Alaska,738432,0,372762,0,329452
2021-07-21,Alaska,738432,-1700,371062,139,329591
2021-07-22,Alaska,738432,452,371514,390,329981
2021-07-23,Alaska,738432,618,372132,425,330406
2021-07-24,Alaska,738432,770,372902,487,330893
2021-07-25,Alaska,738432,38,372940,33,330926
2021-07-26,Alaska,738432,1085,374025,535,331461
2021-07-27,Alaska,738432,256,374281,106,331567
2021-07-28,Alaska,738432,455,374736,251,331818
2021-07-29,Alaska,738432,623,375359,318,332136
2021-07-30,Alaska,738432,795,376154,542,332678
2021-07-31,Alaska,738432,728,376882,414,333092
2021-08-01,Alaska,738432,66,376948,34,333126
2021-08-02,Alaska,738432,71,377019,49,333175
2021-08-03,Alaska,738432,1376,378395,704,333879
2021-08-04,Alaska,738432,627,379022,387,334266
2021-08-05,Alaska,738432,837,379859,450,334716
2021-08-06,Alaska,738432,784,380643,447,335163
2021-08-07,Alaska,738432,827,381470,401,335564
2021-08-08,Alaska,738432,149,381619,100,335664
2021-08-09,Alaska,738432,20,381639,10,335674
2021-08-10,Alaska,738432,247,381886,138,335812
2021-08-11,Alaska,738432,722,382608,408,336220
2021-08-12,Alaska,738432,666,383274,402,336622
2021-08-13,Alaska,738432,917,384191,612,337234
2021-08-14,Alaska,738432,780,384971,512,337746
2021-08-15,Alaska,738432,82,385053,61,337807
2021-08-16,Alaska,738432,1126,386179,742,338549
2021-08-17,Alaska,738432,421,386600,323,338872
2021-08-18,Alaska,738432,573,387173,432,339304
2021-08-19,Alaska,738432,818,387991,521,339825
2021-08-20,Alaska,738432,787,388778,552,340377
2021-08-21,Alaska,738432,748,389526,587,340964
2021-08-22,Alaska,738432,113,389639,100,341064
2021-08-23,Alaska,738432,24,389663,15,341079
2021-08-24,Alaska,738432,1290,390953,996,342075
2021-08-25,Alaska,738432,822,391775,576,342651
2021-08-26,Alaska,738432,887,392662,623,343274
2021-08-27,Alaska,738432,850,393512,631,343905
2021-08-28,Alaska,738432,0,393512,0,343905
2021-08-29,Alaska,738432,973,394485,561,344466
2021-08-30,Alaska,738432,1584,396069,624,345090
2021-08-31,Alaska,738432,474,396543,274,345364
2021-09-01,Alaska,738432,789,397332,462,345826
2021-09-02,Alaska,738432,931,398263,573,346399
2021-09-03,Alaska,738432,997,399260,682,347081
2021-09-04,Alaska,738432,801,400061,516,347597
2021-09-05,Alaska,738432,0,400061,0,347597
2021-09-06,Alaska,738432,0,400061,0,347597
2021-09-07,Alaska,738432,3279,403340,3558,351155
2021-09-08,Alaska,738432,288,403628,159,351314
2021-09-09,Alaska,738432,1384,405012,485,351799
2021-09-10,Alaska,738432,1523,406535,840,352639
2021-09-11,Alaska,738432,1194,407729,639,353278
2021-09-12,Alaska,738432,114,407843,54,353332
2021-09-13,Alaska,738432,0,407843,0,353332
2021-09-14,Alaska,738432,1899,409742,1286,354618
2021-09-15,Alaska,738432,514,410256,493,355111
2021-09-16,Alaska,738432,799,411055,596,355707
2021-09-17,Alaska,738432,923,411978,1077,356784
2021-09-18,Alaska,738432,704,412682,1036,357820
2021-09-19,Alaska,738432,821,413503,1282,359102
2021-09-20,Alaska,738432,381,413884,1160,360262
2021-09-21,Alaska,738432,153,414037,478,360740
2021-09-22,Alaska,738432,472,414509,1510,362250
2021-09-23,Alaska,738432,969,415478,1514,363764
2021-09-24,Alaska,738432,124,415602,129,363893
2021-09-25,Alaska,738432,133,415735,219,364112
2021-09-26,Alaska,738432,148,415883,170,364282
2021-09-27,Alaska,738432,1826,417709,4141,368423
2021-09-28,Alaska,738432,0,417709,0,368423
2021-09-29,Alaska,738432,857,418566,1103,369526
2021-09-30,Alaska,738432,490,419056,588,370114
2021-10-01,Alaska,738432,674,419730,769,370883
2021-10-02,Alaska,738432,693,420423,610,371493
2021-10-03,Alaska,738432,49,420472,17,371510
2021-10-04,Alaska,738432,852,421324,897,372407
2021-10-05,Alaska,738432,219,421543,156,372563
2021-10-06,Alaska,738432,442,421985,387,372950
2021-10-07,Alaska,738432,439,422424,461,373411
2021-10-08,Alaska,738432,661,423085,539,373950
2021-10-09,Alaska,738432,476,423561,413,374363
2021-10-10,Alaska,738432,0,423561,0,374363
2021-10-11,Alaska,738432,0,423561,0,374363
2021-10-12,Alaska,738432,983,424544,897,375260
2021-10-13,Alaska,738432,287,424831,222,375482
2021-10-14,Alaska,738432,688,425519,631,376113
2021-10-15,Alaska,738432,715,426234,822,376935
2021-10-16,Alaska,738432,573,426807,899,377834
2021-10-17,Alaska,738432,36,426843,24,377858
2021-10-18,Alaska,738432,24,426867,8,377866
2021-10-19,Alaska,738432,1946,428813,2496,380362
2021-10-20,Alaska,738432,52,428865,35,380397
2021-10-21,Alaska,738432,487,429352,386,380783
2021-10-22,Alaska,738432,1106,430458,812,381595
2021-10-23,Alaska,738432,549,431007,611,382206
2021-10-24,Alaska,738432,496,431503,530,382736
2021-10-25,Alaska,738432,332,431835,296,383032
2021-10-26,Alaska,738432,281,432116,214,383246
2021-10-27,Alaska,738432,503,432619,427,383673
2021-10-28,Alaska,738432,684,433303,432,384105
2021-10-29,Alaska,738432,702,434005,492,384597
2021-10-30,Alaska,738432,717,434722,486,385083
2021-10-31,Alaska,738432,104,434826,48,385131
2021-11-01,Alaska,738432,870,435696,647,385778
2021-11-02,Alaska,738432,318,436014,175,385953
2021-11-03,Alaska,738432,77,436091,29,385982
2021-11-04,Alaska,738432,185,436276,56,386038
2021-11-05,Alaska,738432,1218,437494,990,387028
2021-11-06,Alaska,738432,606,438100,435,387463
2021-11-07,Alaska,738432,80,438180,26,387489
2021-11-08,Alaska,738432,1052,439232,700,388189
2021-11-09,Alaska,738432,211,439443,113,388302
2021-11-10,Alaska,738432,398,439841,281,388583
2021-11-11,Alaska,738432,0,439841,0,388583
2021-11-12,Alaska,738432,2103,441944,672,389255
2021-11-13,Alaska,738432,2296,444240,602,389857
2021-11-14,Alaska,738432,2089,446329,1261,391118
2021-11-15,Alaska,738432,1009,447338,222,391340
2021-11-16,Alaska,738432,67,447405,16,391356
2021-11-17,Alaska,738432,2211,449616,1482,392838
2021-11-18,Alaska,738432,0,449616,0,392838
2021-11-19,Alaska,738432,1178,450794,395,393233
2021-11-20,Alaska,738432,898,451692,445,393678
2021-11-21,Alaska,738432,1028,452720,392,394070
2021-11-22,Alaska,738432,180,452900,87,394157
2021-11-23,Alaska,738432,0,452900,0,394157
2021-11-24,Alaska,738432,2680,455580,1007,395164
2021-11-25,Alaska,738432,0,455580,0,395164
2021-11-26,Alaska,738432,0,455580,0,395164
2021-11-27,Alaska,738432,0,455580,0,395164
2021-11-28,Alaska,738432,0,455580,0,395164
2021-11-29,Alaska,738432,0,455580,0,395164
2021-11-30,Alaska,738432,3832,459412,1524,396688
2021-12-01,Alaska,738432,1009,460421,407,397095
2021-12-02,Alaska,738432,1140,461561,1027,398122
2021-12-03,Alaska,738432,1056,462617,930,399052
2021-12-04,Alaska,738432,1084,463701,950,400002
2021-12-05,Alaska,738432,77,463778,19,400021
2021-12-06,Alaska,738432,1462,465240,2273,402294
2021-12-07,Alaska,738432,240,465480,235,402529
2021-12-08,Alaska,738432,578,466058,815,403344
2021-12-09,Alaska,738432,712,466770,855,404199
2021-12-10,Alaska,738432,620,467390,617,404816
2021-12-11,Alaska,738432,594,467984,530,405346
2021-12-12,Alaska,738432,46,468030,6,405352
2021-12-13,Alaska,738432,837,468867,1131,406483
2021-12-14,Alaska,738432,239,469106,203,406686
2021-12-15,Alaska,738432,0,469106,0,406686
2021-12-16,Alaska,738432,447,469553,564,407250
2021-12-17,Alaska,738432,1238,470791,1146,408396
2021-12-18,Alaska,738432,0,470791,0,408396
2021-12-19,Alaska,738432,476,471267,324,408720
2021-12-20,Alaska,738432,55,471322,24,408744
2021-12-21,Alaska,738432,969,472291,706,409450
2021-12-22,Alaska,738432,497,472788,356,409806
2021-12-23,Alaska,738432,623,473411,481,410287
2021-12-24,Alaska,738432,0,473411,0,410287
2021-12-25,Alaska,738432,0,473411,0,410287
2021-12-26,Alaska,738432,0,473411,0,410287
2021-12-27,Alaska,738432,225,473636,75,410362
2021-12-28,Alaska,738432,1193,474829,911,411273
2021-12-29,Alaska,738432,363,475192,404,411677
2021-12-30,Alaska,738432,496,475688,433,412110
2021-12-31,Alaska,738432,0,475688,0,412110
2022-01-01,Alaska,738432,0,475688,0,412110
2022-01-02,Alaska,738432,0,475688,0,412110
2022-01-03,Alaska,738432,0,475688,0,412110
2022-01-04,Alaska,738432,1377,477065,937,413047
2022-01-05,Alaska,738432,402,477467,366,413413
2022-01-06,Alaska,738432,0,477467,0,413413
2022-01-07,Alaska,738432,527,477994,414,413827
2022-01-08,Alaska,738432,1010,479004,730,414557
2022-01-09,Alaska,738432,107,479111,57,414614
2022-01-10,Alaska,738432,33,479144,7,414621
2022-01-11,Alaska,738432,836,479980,714,415335
2022-01-12,Alaska,738432,373,480353,339,415674
2022-01-13,Alaska,738432,787,481140,499,416173
2022-01-14,Alaska,738432,193,481333,148,416321
2022-01-15,Alaska,738432,0,481333,0,416321
2022-01-16,Alaska,738432,770,482103,598,416919
2022-01-17,Alaska,738432,0,482103,0,416919
2022-01-18,Alaska,738432,772,482875,537,417456
2022-01-19,Alaska,738432,10301,493176,6871,424327
2022-01-20,Alaska,738432,300,493476,298,424625
2022-01-21,Alaska,738432,402,493878,387,425012
2022-01-22,Alaska,738432,364,494242,258,425270
2022-01-23,Alaska,738432,59,494301,22,425292
2022-01-24,Alaska,738432,563,494864,348,425640
2022-01-25,Alaska,738432,154,495018,73,425713
2022-01-26,Alaska,738432,245,495263,192,425905
2022-01-27,Alaska,738432,257,495520,265,426170
2022-01-28,Alaska,738432,270,495790,232,426402
2022-01-29,Alaska,738432,381,496171,347,426749
2022-01-30,Alaska,738432,53,496224,18,426767
2022-01-31,Alaska,738432,0,496224,0,426767
2022-02-01,Alaska,738432,499,496723,533,427300
2022-02-02,Alaska,738432,63,496786,44,427344
2022-02-03,Alaska,738432,0,496786,0,427344
2022-02-04,Alaska,738432,488,497274,9794,437138
2022-02-05,Alaska,738432,267,497541,201,437339
2022-02-06,Alaska,738432,115,497656,38,437377
2022-02-07,Alaska,738432,374,498030,365,437742
2022-02-08,Alaska,738432,85,498115,50,437792
2022-02-09,Alaska,738432,0,498115,0,437792
2021-07-01,Alabama,5024279,8579,1962745,7177,1601802
2021-07-02,Alabama,5024279,207,1962952,220,1602022
2021-07-03,Alabama,5024279,6882,1969834,10781,1612803
2021-07-04,Alabama,5024279,137,1969971,110,1612913
2021-07-05,Alabama,5024279,0,1969971,0,1612913
2021-07-06,Alabama,5024279,6372,1976343,4671,1617584
2021-07-07,Alabama,5024279,2608,1978951,2063,1619647
2021-07-08,Alabama,5024279,3299,1982250,3467,1623114
2021-07-09,Alabama,5024279,3332,1985582,3209,1626323
2021-07-10,Alabama,5024279,3374,1988956,3422,1629745
2021-07-11,Alabama,5024279,4001,1992957,3663,1633408
2021-07-12,Alabama,5024279,142,1993099,97,1633505
2021-07-13,Alabama,5024279,7653,2000752,5361,1638866
2021-07-14,Alabama,5024279,162,2000914,166,1639032
2021-07-15,Alabama,5024279,8286,2009200,6051,1645083
2021-07-16,Alabama,5024279,4359,2013559,2912,1647995
2021-07-17,Alabama,5024279,294,2013853,177,1648172
2021-07-18,Alabama,5024279,4954,2018807,3232,1651404
2021-07-19,Alabama,5024279,3975,2022782,2200,1653604
2021-07-20,Alabama,5024279,0,2022782,0,1653604
2021-07-21,Alabama,5024279,12032,2034814,6171,1659775
2021-07-22,Alabama,5024279,6474,2041288,3037,1662812
2021-07-23,Alabama,5024279,309,2041597,219,1663031
2021-07-24,Alabama,5024279,7293,2048890,2720,1665751
2021-07-25,Alabama,5024279,9782,2058672,3067,1668818
2021-07-26,Alabama,5024279,8861,2067533,2280,1671098
2021-07-27,Alabama,5024279,5825,2073358,1325,1672423
2021-07-28,Alabama,5024279,19409,2092767,4625,1677048
2021-07-29,Alabama,5024279,475,2093242,231,1677279
2021-07-30,Alabama,5024279,23309,2116551,6088,1683367
2021-07-31,Alabama,5024279,493,2117044,217,1683584
2021-08-01,Alabama,5024279,13061,2130105,3820,1687404
2021-08-02,Alabama,5024279,204,2130309,40,1687444
2021-08-03,Alabama,5024279,24170,2154479,6060,1693504
2021-08-04,Alabama,5024279,9569,2164048,2527,1696031
2021-08-05,Alabama,5024279,4378,2168426,1113,1697144
2021-08-06,Alabama,5024279,24224,2192650,6375,1703519
2021-08-07,Alabama,5024279,14695,2207345,4376,1707895
2021-08-08,Alabama,5024279,379,2207724,131,1708026
2021-08-09,Alabama,5024279,9744,2217468,2988,1711014
2021-08-10,Alabama,5024279,13920,2231388,4662,1715676
2021-08-11,Alabama,5024279,2013,2233401,692,1716368
2021-08-12,Alabama,5024279,11874,2245275,4087,1720455
2021-08-13,Alabama,5024279,11082,2256357,4584,1725039
2021-08-14,Alabama,5024279,3970,2260327,1737,1726776
2021-08-15,Alabama,5024279,14723,2275050,7946,1734722
2021-08-16,Alabama,5024279,14091,2289141,8888,1743610
2021-08-17,Alabama,5024279,6722,2295863,4919,1748529
2021-08-18,Alabama,5024279,6735,2302598,3714,1752243
2021-08-19,Alabama,5024279,10392,2312990,7246,1759489
2021-08-20,Alabama,5024279,17705,2330695,11236,1770725
2021-08-21,Alabama,5024279,10087,2340782,6860,1777585
2021-08-22,Alabama,5024279,5152,2345934,4005,1781590
2021-08-23,Alabama,5024279,12616,2358550,12122,1793712
2021-08-24,Alabama,5024279,9739,2368289,8567,1802279
2021-08-25,Alabama,5024279,1993,2370282,1625,1803904
2021-08-26,Alabama,5024279,10587,2380869,9352,1813256
2021-08-27,Alabama,5024279,18835,2399704,25091,1838347
2021-08-28,Alabama,5024279,0,2399704,0,1838347
2021-08-29,Alabama,5024279,26749,2426453,22098,1860445
2021-08-30,Alabama,5024279,6426,2432879,7899,1868344
2021-08-31,Alabama,5024279,9368,2442247,11932,1880276
2021-09-01,Alabama,5024279,2095,2444342,1774,1882050
2021-09-02,Alabama,5024279,8205,2452547,9013,1891063
2021-09-03,Alabama,5024279,8796,2461343,9813,1900876
2021-09-04,Alabama,5024279,12766,2474109,14834,1915710
2021-09-05,Alabama,5024279,0,2474109,0,1915710
2021-09-06,Alabama,5024279,0,2474109,0,1915710
2021-09-07,Alabama,5024279,11470,2485579,14380,1930090
2021-09-08,Alabama,5024279,6054,2491633,7975,1938065
2021-09-09,Alabama,5024279,1408,2493041,1979,1940044
2021-09-10,Alabama,5024279,11615,2504656,16815,1956859
2021-09-11,Alabama,5024279,1828,2506484,2634,1959493
2021-09-12,Alabama,5024279,7581,2514065,11548,1971041
2021-09-13,Alabama,5024279,0,2514065,0,1971041
2021-09-14,Alabama,5024279,2111,2516176,9766,1980807
2021-09-15,Alabama,5024279,4803,2520979,7218,1988025
2021-09-16,Alabama,5024279,6019,2526998,9339,1997364
2021-09-17,Alabama,5024279,8637,2535635,13555,2010919
2021-09-18,Alabama,5024279,1694,2537329,2104,2013023
2021-09-19,Alabama,5024279,6146,2543475,10736,2023759
2021-09-20,Alabama,5024279,3546,2547021,6390,2030149
2021-09-21,Alabama,5024279,5122,2552143,8495,2038644
2021-09-22,Alabama,5024279,3094,2555237,5328,2043972
2021-09-23,Alabama,5024279,878,2556115,1266,2045238
2021-09-24,Alabama,5024279,2454,2558569,4145,2049383
2021-09-25,Alabama,5024279,7166,2565735,11552,2060935
2021-09-26,Alabama,5024279,4678,2570413,8091,2069026
2021-09-27,Alabama,5024279,2503,2572916,4691,2073717
2021-09-28,Alabama,5024279,0,2572916,0,2073717
2021-09-29,Alabama,5024279,5947,2578863,9465,2083182
2021-09-30,Alabama,5024279,4727,2583590,6670,2089852
2021-10-01,Alabama,5024279,668,2584258,954,2090806
2021-10-02,Alabama,5024279,2692,2586950,4114,2094920
2021-10-03,Alabama,5024279,5146,2592096,8283,2103203
2021-10-04,Alabama,5024279,3851,2595947,6146,2109349
2021-10-05,Alabama,5024279,1501,2597448,2576,2111925
2021-10-06,Alabama,5024279,2622,2600070,3807,2115732
2021-10-07,Alabama,5024279,2332,2602402,3211,2118943
2021-10-08,Alabama,5024279,5656,2608058,7823,2126766
2021-10-09,Alabama,5024279,1476,2609534,2160,2128926
2021-10-10,Alabama,5024279,0,2609534,0,2128926
2021-10-11,Alabama,5024279,0,2609534,0,2128926
2021-10-12,Alabama,5024279,7138,2616672,10621,2139547
2021-10-13,Alabama,5024279,971,2617643,1177,2140724
2021-10-14,Alabama,5024279,2503,2620146,3396,2144120
2021-10-15,Alabama,5024279,2282,2622428,2913,2147033
2021-10-16,Alabama,5024279,2780,2625208,3475,2150508
2021-10-17,Alabama,5024279,4138,2629346,5101,2155609
2021-10-18,Alabama,5024279,1921,2631267,2247,2157856
2021-10-19,Alabama,5024279,1483,2632750,1667,2159523
2021-10-20,Alabama,5024279,2245,2634995,2761,2162284
2021-10-21,Alabama,5024279,2739,2637734,2870,2165154
2021-10-22,Alabama,5024279,6495,2644229,5169,2170323
2021-10-23,Alabama,5024279,4359,2648588,4600,2174923
2021-10-24,Alabama,5024279,1545,2650133,1617,2176540
2021-10-25,Alabama,5024279,1904,2652037,1440,2177980
2021-10-26,Alabama,5024279,1529,2653566,1262,2179242
2021-10-27,Alabama,5024279,5549,2659115,4440,2183682
2021-10-28,Alabama,5024279,4837,2663952,3696,2187378
2021-10-29,Alabama,5024279,4076,2668028,3323,2190701
2021-10-30,Alabama,5024279,4012,2672040,3373,2194074
2021-10-31,Alabama,5024279,1616,2673656,1458,2195532
2021-11-01,Alabama,5024279,2571,2676227,2017,2197549
2021-11-02,Alabama,5024279,1437,2677664,984,2198533
2021-11-03,Alabama,5024279,4741,2682405,3752,2202285
2021-11-04,Alabama,5024279,3044,2685449,2392,2204677
2021-11-05,Alabama,5024279,3032,2688481,2400,2207077
2021-11-06,Alabama,5024279,1015,2689496,952,2208029
2021-11-07,Alabama,5024279,3625,2693121,3092,2211121
2021-11-08,Alabama,5024279,2705,2695826,2337,2213458
2021-11-09,Alabama,5024279,1081,2696907,1038,2214496
2021-11-10,Alabama,5024279,4321,2701228,3875,2218371
2021-11-11,Alabama,5024279,0,2701228,0,2218371
2021-11-12,Alabama,5024279,1650,2702878,1186,2219557
2021-11-13,Alabama,5024279,3124,2706002,1905,2221462
2021-11-14,Alabama,5024279,8712,2714714,7123,2228585
2021-11-15,Alabama,5024279,3587,2718301,1596,2230181
2021-11-16,Alabama,5024279,2301,2720602,1038,2231219
2021-11-17,Alabama,5024279,3483,2724085,2192,2233411
2021-11-18,Alabama,5024279,0,2724085,0,2233411
2021-11-19,Alabama,5024279,6988,2731073,4418,2237829
2021-11-20,Alabama,5024279,1959,2733032,1129,2238958
2021-11-21,Alabama,5024279,7365,2740397,4134,2243092
2021-11-22,Alabama,5024279,4933,2745330,2451,2245543
2021-11-23,Alabama,5024279,0,2745330,0,2245543
2021-11-24,Alabama,5024279,10583,2755913,9123,2254666
2021-11-25,Alabama,5024279,0,2755913,0,2254666
2021-11-26,Alabama,5024279,0,2755913,0,2254666
2021-11-27,Alabama,5024279,0,2755913,0,2254666
2021-11-28,Alabama,5024279,0,2755913,0,2254666
2021-11-29,Alabama,5024279,0,2755913,0,2254666
2021-11-30,Alabama,5024279,16111,2772024,9800,2264466
2021-12-01,Alabama,5024279,4735,2776759,2395,2266861
2021-12-02,Alabama,5024279,3457,2780216,1709,2268570
2021-12-03,Alabama,5024279,8610,2788826,4791,2273361
2021-12-04,Alabama,5024279,2643,2791469,1077,2274438
2021-12-05,Alabama,5024279,6430,2797899,4232,2278670
2021-12-06,Alabama,5024279,3485,2801384,3086,2281756
2021-12-07,Alabama,5024279,2748,2804132,2003,2283759
2021-12-08,Alabama,5024279,3532,2807664,2873,2286632
2021-12-09,Alabama,5024279,1814,2809478,1548,2288180
2021-12-10,Alabama,5024279,5782,2815260,4891,2293071
2021-12-11,Alabama,5024279,3940,2819200,3422,2296493
2021-12-12,Alabama,5024279,1275,2820475,1132,2297625
2021-12-13,Alabama,5024279,2189,2822664,2215,2299840
2021-12-14,Alabama,5024279,2910,2825574,2627,2302467
2021-12-15,Alabama,5024279,0,2825574,0,2302467
2021-12-16,Alabama,5024279,2742,2828316,2448,2304915
2021-12-17,Alabama,5024279,5745,2834061,4918,2309833
2021-12-18,Alabama,5024279,0,2834061,0,2309833
2021-12-19,Alabama,5024279,4731,2838792,3296,2313129
2021-12-20,Alabama,5024279,1762,2840554,1281,2314410
2021-12-21,Alabama,5024279,2184,2842738,1667,2316077
2021-12-22,Alabama,5024279,2897,2845635,2233,2318310
2021-12-23,Alabama,5024279,4319,2849954,3093,2321403
2021-12-24,Alabama,5024279,0,2849954,0,2321403
2021-12-25,Alabama,5024279,0,2849954,0,2321403
2021-12-26,Alabama,5024279,0,2849954,0,2321403
2021-12-27,Alabama,5024279,10289,2860243,7327,2328730
2021-12-28,Alabama,5024279,3242,2863485,2866,2331596
2021-12-29,Alabama,5024279,957,2864442,691,2332287
2021-12-30,Alabama,5024279,4322,2868764,3057,2335344
2021-12-31,Alabama,5024279,0,2868764,0,2335344
2022-01-01,Alabama,5024279,0,2868764,0,2335344
2022-01-02,Alabama,5024279,0,2868764,0,2335344
2022-01-03,Alabama,5024279,0,2868764,0,2335344
2022-01-04,Alabama,5024279,16055,2884819,10255,2345599
2022-01-05,Alabama,5024279,1251,2886070,805,2346404
2022-01-06,Alabama,5024279,0,2886070,0,2346404
2022-01-07,Alabama,5024279,4176,2890246,2681,2349085
2022-01-08,Alabama,5024279,7869,2898115,5002,2354087
2022-01-09,Alabama,5024279,2152,2900267,1573,2355660
2022-01-10,Alabama,5024279,3053,2903320,2067,2357727
2022-01-11,Alabama,5024279,1603,2904923,1031,2358758
2022-01-12,Alabama,5024279,4020,2908943,2732,2361490
2022-01-13,Alabama,5024279,3110,2912053,2153,2363643
2022-01-14,Alabama,5024279,7383,2919436,5915,2369558
2022-01-15,Alabama,5024279,0,2919436,0,2369558
2022-01-16,Alabama,5024279,2960,2922396,1956,2371514
2022-01-17,Alabama,5024279,0,2922396,0,2371514
2022-01-18,Alabama,5024279,4821,2927217,2590,2374104
2022-01-19,Alabama,5024279,35224,2962441,22204,2396308
2022-01-20,Alabama,5024279,1226,2963667,838,2397146
2022-01-21,Alabama,5024279,6018,2969685,3948,2401094
2022-01-22,Alabama,5024279,260,2969945,98,2401192
2022-01-23,Alabama,5024279,15761,2985706,10460,2411652
2022-01-24,Alabama,5024279,791,2986497,496,2412148
2022-01-25,Alabama,5024279,2606,2989103,2237,2414385
2022-01-26,Alabama,5024279,3494,2992597,3254,2417639
2022-01-27,Alabama,5024279,599,2993196,629,2418268
2022-01-28,Alabama,5024279,3160,2996356,3219,2421487
2022-01-29,Alabama,5024279,526,2996882,480,2421967
2022-01-30,Alabama,5024279,2101,2998983,1926,2423893
2022-01-31,Alabama,5024279,0,2998983,0,2423893
2022-02-01,Alabama,5024279,2750,3001733,2515,2426408
2022-02-02,Alabama,5024279,1363,3003096,1430,2427838
2022-02-03,Alabama,5024279,0,3003096,0,2427838
2022-02-04,Alabama,5024279,3622,3006718,3606,2431444
2022-02-05,Alabama,5024279,1770,3008488,1640,2433084
2022-02-06,Alabama,5024279,1424,3009912,1223,2434307
2022-02-07,Alabama,5024279,812,3010724,989,2435296
2022-02-08,Alabama,5024279,2005,3012729,2563,2437859
2022-02-09,Alabama,5024279,0,3012729,0,2437859
2021-07-01,Arkansas,2978204,6265,1268867,4233,1033763
2021-07-02,Arkansas,2978204,3625,1272492,2934,1036697
2021-07-03,Arkansas,2978204,3496,1275988,2762,1039459
2021-07-04,Arkansas,2978204,3168,1279156,2290,1041749
2021-07-05,Arkansas,2978204,0,1279156,0,1041749
2021-07-06,Arkansas,2978204,2402,1281558,1468,1043217
2021-07-07,Arkansas,2978204,1175,1282733,956,1044173
2021-07-08,Arkansas,2978204,3201,1285934,2471,1046644
2021-07-09,Arkansas,2978204,3439,1289373,2483,1049127
2021-07-10,Arkansas,2978204,3472,1292845,2045,1051172
2021-07-11,Arkansas,2978204,4402,1297247,2663,1053835
2021-07-12,Arkansas,2978204,2170,1299417,992,1054827
2021-07-13,Arkansas,2978204,1429,1300846,819,1055646
2021-07-14,Arkansas,2978204,3860,1304706,2254,1057900
2021-07-15,Arkansas,2978204,4296,1309002,2274,1060174
2021-07-16,Arkansas,2978204,4031,1313033,2080,1062254
2021-07-17,Arkansas,2978204,8397,1321430,2854,1065108
2021-07-18,Arkansas,2978204,6369,1327799,2867,1067975
2021-07-19,Arkansas,2978204,3086,1330885,1142,1069117
2021-07-20,Arkansas,2978204,0,1330885,0,1069117
2021-07-21,Arkansas,2978204,7333,1338218,3049,1072166
2021-07-22,Arkansas,2978204,7548,1345766,2706,1074872
2021-07-23,Arkansas,2978204,7171,1352937,2475,1077347
2021-07-24,Arkansas,2978204,9869,1362806,4877,1082224
2021-07-25,Arkansas,2978204,9823,1372629,2802,1085026
2021-07-26,Arkansas,2978204,4776,1377405,1478,1086504
2021-07-27,Arkansas,2978204,2849,1380254,780,1087284
2021-07-28,Arkansas,2978204,8181,1388435,2191,1089475
2021-07-29,Arkansas,2978204,8617,1397052,2846,1092321
